api,section,endpoint,block,parameter,value_type,required,props,max,description,doc_url
messaging-api,Webhook Event Objects,Message event,Text,emojis[].length,Number,,,,"The length of the LINE emoji string. For LINE emoji (hello), 7 is the length.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,emojis[].productId,String,,,,Product ID for a LINE emoji set. See LINE emoji for an example of a product ID.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,emojis[].emojiId,String,,,,ID for a LINE emoji inside a set. See LINE emoji for an example of an emoji ID.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention,Object,false,"annotation=""Not always included""",,Object containing the contents of the mentioned user. Only included in the message event when the text property contains a mention.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention.mentionees[],Array of objects,,,20,Array of one or more mention objects. Max: 20 mentions,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention.mentionees[].index,Number,,,,"Index position of the user mention for a character in text, with the first character being at position 0.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention.mentionees[].length,Number,,,,"The length of the text of the mentioned user. For a mention @example, 8 is the length.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention.mentionees[].type,String,,,,Mentioned target. - user: User or bot. - all: Entire group.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention.mentionees[].userId,String,false,"annotation=""Not always included""",,"User ID of the mentioned user or bot. Only included if mention.mentions[].type is user. If the mentionee is a user, only included if the user consents to the LINE Official Account obtaining their user profile information.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,mention.mentionees[].isSelf,Boolean,false,"annotation=""Not always included""",,"Whether the mention is to the bot (destination) that received the webhook event. This is only included when the value of the mention.mentionees[].type property is user. - true: This is a mention to the bot that received the webhook event. - false: This is a mention to another user. For more information, see Webhook when a message including a mention to a bot is sent in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Text,quotedMessageId,String,false,"annotation=""Not always included""",,Message ID of a quoted message. Only included when the received message quotes a past message.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,id,String,,,,Message ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,type,String,,,,image,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,quoteToken,String,,,,"Quote token of the message. For more information, see Get quote tokens in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,markAsReadToken,String,,,,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,contentProvider.type,String,,,,"Provider of the image file. - line: The image was sent by a LINE user. The binary data of the image file can be retrieved by specifying the message ID and calling the Get content endpoint. - external: The URL of the image file is included in the contentProvider.originalContentUrl property. If the provider of the image file is external, the binary data of the image file can't be retrieved by using the Get content endpoint.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,contentProvider.originalContentUrl,String,false,"annotation=""Not always included""",,URL of the image file. Only included when contentProvider.type is external. The server where the image file is located isn't provided by LY Corporation.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,contentProvider.previewImageUrl,String,false,"annotation=""Not always included""",,URL of the preview image. Only included when contentProvider.type is external. The server where the preview image file is located isn't provided by LY Corporation.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,imageSet.id,String,false,"annotation=""Not always included""",,Image set ID. Only included when multiple images are sent simultaneously.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,imageSet.index,Number,false,"annotation=""Not always included""",,"An index starting from 1, indicating the image number in a set of images sent simultaneously. Only included when multiple images are sent simultaneously. However, it won't be included if the sender is using LINE 11.15 or earlier for Android. The order in which webhooks are delivered is undefined If a user simultaneously sends multiple images, multiple webhook events are sent to the bot server from the LINE Platform. The webhooks are delivered in an undefined order, not in the order of the values in imageSet.index.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Image,imageSet.total,Number,false,"annotation=""Not always included""",,"The total number of images sent simultaneously. If two images are sent simultaneously, the number is 2. Only included when multiple images are sent simultaneously. However, it won't be included if the sender is using LINE 11.15 or earlier for Android.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,id,String,,,,Message ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,type,String,,,,video,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,quoteToken,String,,,,"Quote token of the message. For more information, see Get quote tokens in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,markAsReadToken,String,,,,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,duration,Number,false,"annotation=""Not always included""",,Length of video file (milliseconds),https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,contentProvider.type,String,,,,"Provider of the video file. - line: The video was sent by a LINE user. The binary data of the video file can be retrieved by specifying the message ID and calling the Get content endpoint. - external: The URL of the video file is included in the contentProvider.originalContentUrl property. If the provider of the video file is external, the binary data of the video file can't be retrieved by using the Get content endpoint.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,contentProvider.originalContentUrl,String,false,"annotation=""Not always included""",,URL of the video file. Only included when contentProvider.type is external. The server where the video file is located isn't provided by LY Corporation.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Video,contentProvider.previewImageUrl,String,false,"annotation=""Not always included""",,URL of the preview image. Only included when contentProvider.type is external. The server where the preview image file is located isn't provided by LY Corporation.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Audio,id,String,,,,Message ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Audio,type,String,,,,audio,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Audio,markAsReadToken,String,,,,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Audio,duration,Number,false,"annotation=""Not always included""",,Length of audio file (milliseconds),https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Audio,contentProvider.type,String,,,,"Provider of the audio file: - line: The audio was sent by a LINE user. The binary data of the audio file can be retrieved by specifying the message ID and calling the Get content endpoint. - external: The URL of the audio file is included in the contentProvider.originalContentUrl property. If the provider of the audio file is external, the binary data of the audio file can't be retrieved by using the Get content endpoint.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Audio,contentProvider.originalContentUrl,String,false,"annotation=""Not always included""",,URL of the audio file. Only included when contentProvider.type is external. The server where the audio file is located isn't provided by LY Corporation.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,File,id,String,,,,Message ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,File,type,String,,,,file,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,File,markAsReadToken,String,,,,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,File,fileName,String,,,,File name,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,File,fileSize,Number,,,,File size in bytes,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,id,String,,,,Message ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,type,String,,,,location,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,markAsReadToken,String,,,,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,title,String,false,"annotation=""Not always included""",,Title,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,address,String,false,"annotation=""Not always included""",,Address,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,latitude,Decimal,,,,Latitude,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Location,longitude,Decimal,,,,Longitude,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,id,String,,,,Message ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,type,String,,,,sticker,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,quoteToken,String,,,,"Quote token of the message. For more information, see Get quote tokens in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,markAsReadToken,String,,,,"Read token. This token allows you to mark messages as read. It has no expiration date. For more information, see Mark messages as read in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,packageId,String,,,,Package ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,stickerId,String,,,,Sticker ID,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,stickerResourceType,String,,,,"Sticker resource type. One of: - STATIC: Still image - ANIMATION: Animated sticker - SOUND: Sticker with sound - ANIMATION_SOUND: Animated sticker with sound - POPUP: Pop-up sticker or Effect sticker - POPUP_SOUND: Pop-up sticker with sound or Effect sticker with sound - CUSTOM: Custom sticker. Text entered by user can't be retrieved. - MESSAGE: Message sticker - NAME_TEXT: Custom sticker (discontinued) - PER_STICKER_TEXT: Message sticker (discontinued) About stickerResourceType In the future, we may add new resource types without notice. Make sure your implementation can handle both current a",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,keywords,Array of strings,false,"annotation=""Not always included""",,"Array of up to 15 keywords describing the sticker. If a sticker has 16 or more keywords, a random selection of 15 keywords will be returned. The keyword selection is random for each event, so different keywords may be returned for the same sticker. About keywords The keywords property is currently in an experimental phase and discontinuation or spec changes may occur in the future.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,text,String,false,"annotation=""Not always included""",100,"Any text entered by the user. This property is only included for message stickers. Max character limit: 100 You can't retrieve the text of custom stickers In the case of custom stickers, the text entered by the user can't be retrieved.",https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Message event,Sticker,quotedMessageId,String,false,"annotation=""Not always included""",,Message ID of a quoted message. Only included when the received message quotes a past message.,https://developers.line.biz/en/reference/messaging-api/#message-event
messaging-api,Webhook Event Objects,Edit event,,"timestamp, source, etc.",See Common properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#edit-event
messaging-api,Webhook Event Objects,Edit event,,type,String,,,,messageEdited,https://developers.line.biz/en/reference/messaging-api/#edit-event
messaging-api,Webhook Event Objects,Edit event,,replyToken,String,,,,Reply token used to send reply message to this event. The reply token in an edit event has a different value from the reply token in the original message event.,https://developers.line.biz/en/reference/messaging-api/#edit-event
messaging-api,Webhook Event Objects,Edit event,,message,Object,,,,Object containing the contents of the message. Message types include: - Text,https://developers.line.biz/en/reference/messaging-api/#edit-event
messaging-api,Webhook Event Objects,Unsend event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#unsend-event
messaging-api,Webhook Event Objects,Unsend event,,type,String,,,,unsend,https://developers.line.biz/en/reference/messaging-api/#unsend-event
messaging-api,Webhook Event Objects,Unsend event,,unsend.messageId,String,,,,The message ID of the unsent message,https://developers.line.biz/en/reference/messaging-api/#unsend-event
messaging-api,Webhook Event Objects,Follow event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#follow-event
messaging-api,Webhook Event Objects,Follow event,,type,String,,,,follow,https://developers.line.biz/en/reference/messaging-api/#follow-event
messaging-api,Webhook Event Objects,Follow event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#follow-event
messaging-api,Webhook Event Objects,Follow event,,follow.isUnblocked,Boolean,,,,"- true: The user has unblocked the LINE Official Account. - false: The user has added the LINE Official Account as a friend. Accuracy of follow.isUnblocked The follow.isUnblocked property doesn't guarantee the complete accuracy of ""add friend"" and ""unblock"".",https://developers.line.biz/en/reference/messaging-api/#follow-event
messaging-api,Webhook Event Objects,Unfollow event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#unfollow-event
messaging-api,Webhook Event Objects,Unfollow event,,type,String,,,,unfollow,https://developers.line.biz/en/reference/messaging-api/#unfollow-event
messaging-api,Webhook Event Objects,Join event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#join-event
messaging-api,Webhook Event Objects,Join event,,type,String,,,,join,https://developers.line.biz/en/reference/messaging-api/#join-event
messaging-api,Webhook Event Objects,Join event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#join-event
messaging-api,Webhook Event Objects,Leave event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#leave-event
messaging-api,Webhook Event Objects,Leave event,,type,String,,,,leave,https://developers.line.biz/en/reference/messaging-api/#leave-event
messaging-api,Webhook Event Objects,Member join event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#member-join-event
messaging-api,Webhook Event Objects,Member join event,,type,String,,,,memberJoined,https://developers.line.biz/en/reference/messaging-api/#member-join-event
messaging-api,Webhook Event Objects,Member join event,,joined.members,Array,,,,Users who joined. Array of source user objects.,https://developers.line.biz/en/reference/messaging-api/#member-join-event
messaging-api,Webhook Event Objects,Member join event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#member-join-event
messaging-api,Webhook Event Objects,Member leave event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#member-leave-event
messaging-api,Webhook Event Objects,Member leave event,,type,String,,,,memberLeft,https://developers.line.biz/en/reference/messaging-api/#member-leave-event
messaging-api,Webhook Event Objects,Member leave event,,left.members,Array,,,,Users who left. Array of source user objects.,https://developers.line.biz/en/reference/messaging-api/#member-leave-event
messaging-api,Webhook Event Objects,Postback event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#postback-event
messaging-api,Webhook Event Objects,Postback event,,type,String,,,,postback,https://developers.line.biz/en/reference/messaging-api/#postback-event
messaging-api,Webhook Event Objects,Postback event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#postback-event
messaging-api,Webhook Event Objects,Postback event,,postback.data,String,,,,Postback data,https://developers.line.biz/en/reference/messaging-api/#postback-event
messaging-api,Webhook Event Objects,Postback event,,postback.params,Object,,,,Any of these JSON objects: - postback.params object for date-time selection action. - JSON object with date and time selected by the user via Datetime picker action. - Returned only for postback actions by Datetime picker action. - postback.paramsobject for rich menu switch action. - JSON object with rich menu alias ID selected by the user via Rich menu switch action. - Returned only for postback actions by Rich menu switch action.,https://developers.line.biz/en/reference/messaging-api/#postback-event
messaging-api,Webhook Event Objects,Video viewing complete event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#video-viewing-complete-event
messaging-api,Webhook Event Objects,Video viewing complete event,,type,String,,,,videoPlayComplete,https://developers.line.biz/en/reference/messaging-api/#video-viewing-complete-event
messaging-api,Webhook Event Objects,Video viewing complete event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#video-viewing-complete-event
messaging-api,Webhook Event Objects,Video viewing complete event,,videoPlayComplete.trackingId,String,,,,ID used to identify a video. Returns the same value as the trackingId assigned to the video message.,https://developers.line.biz/en/reference/messaging-api/#video-viewing-complete-event
messaging-api,Webhook Event Objects,Beacon event,,"timestamp, source, etc.",See Common Properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#beacon-event
messaging-api,Webhook Event Objects,Beacon event,,type,String,,,,beacon,https://developers.line.biz/en/reference/messaging-api/#beacon-event
messaging-api,Webhook Event Objects,Beacon event,,replyToken,String,,,,Reply token used to send reply message to this event,https://developers.line.biz/en/reference/messaging-api/#beacon-event
messaging-api,Webhook Event Objects,Beacon event,,beacon.hwid,String,,,,Hardware ID of the beacon that was detected,https://developers.line.biz/en/reference/messaging-api/#beacon-event
messaging-api,Webhook Event Objects,Beacon event,,beacon.type,String,,,,Type of beacon event. See Beacon event types.,https://developers.line.biz/en/reference/messaging-api/#beacon-event
messaging-api,Webhook Event Objects,Beacon event,,beacon.dm,String,false,"annotation=""Not always included""",,"Device message of beacon that was detected. This message consists of data generated by the beacon to send notifications to bot servers. Only included in webhook events from devices that support the ""device message"" property. For more information, see the LINE Simple Beacon specification.",https://developers.line.biz/en/reference/messaging-api/#beacon-event
messaging-api,Webhook Event Objects,Account link event,,"timestamp, source, etc.",See Common Properties.,,,,The source property won't be included in the account link event if linking the account has failed.,https://developers.line.biz/en/reference/messaging-api/#account-link-event
messaging-api,Webhook Event Objects,Account link event,,type,String,,,,accountLink,https://developers.line.biz/en/reference/messaging-api/#account-link-event
messaging-api,Webhook Event Objects,Account link event,,replyToken,String,false,"annotation=""Not always included""",,Reply token used to send reply message to this event. This property won't be included if linking the account has failed.,https://developers.line.biz/en/reference/messaging-api/#account-link-event
messaging-api,Webhook Event Objects,Account link event,,link.result,String,,,,"One of the following values to indicate whether linking the account was successful or not: - ok: Indicates linking the account was successful. - failed: Indicates linking the account failed for any reason, such as due to a user impersonation.",https://developers.line.biz/en/reference/messaging-api/#account-link-event
messaging-api,Webhook Event Objects,Account link event,,link.nonce,String,,,,"Specified nonce (number used once) when verifying the user ID. For more information, see Generate a nonce and redirect the user to the LINE Platform in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#account-link-event
messaging-api,Webhook Event Objects,Membership event,,"timestamp, source, etc.",See Common properties.,,,,,https://developers.line.biz/en/reference/messaging-api/#membership-event
messaging-api,Webhook Event Objects,Membership event,,type,String,,,,membership,https://developers.line.biz/en/reference/messaging-api/#membership-event
messaging-api,Webhook Event Objects,Membership event,,replyToken,String,,,,Reply token used to send a reply message to this event,https://developers.line.biz/en/reference/messaging-api/#membership-event
messaging-api,Webhook Event Objects,Membership event,,membership.type,String,,,,Type of membership event. One of the following values: - joined: User joined the membership. - left: User left the membership. - renewed: User renewed the membership.,https://developers.line.biz/en/reference/messaging-api/#membership-event
messaging-api,Webhook Event Objects,Membership event,,membership.membershipId,Number,,,,"A membership ID that the user has joined, left, or renewed.",https://developers.line.biz/en/reference/messaging-api/#membership-event
messaging-api,Webhook settings,Set webhook endpoint URL,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#set-webhook-endpoint-url
messaging-api,Webhook settings,Set webhook endpoint URL,Request headers,Content-Type,application/json,true,required,,,https://developers.line.biz/en/reference/messaging-api/#set-webhook-endpoint-url
messaging-api,Webhook settings,Set webhook endpoint URL,Request body,endpoint,String,true,required,,A valid webhook URL.,https://developers.line.biz/en/reference/messaging-api/#set-webhook-endpoint-url
messaging-api,Webhook settings,Get webhook endpoint information,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-webhook-endpoint-information
messaging-api,Webhook settings,Get webhook endpoint information,Request headers,Content-Type,application/json,true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-webhook-endpoint-information
messaging-api,Webhook settings,Get webhook endpoint information,Response,endpoint,String,,,,Webhook URL,https://developers.line.biz/en/reference/messaging-api/#get-webhook-endpoint-information
