api,kind,scope,code_or_message,description,doc_url
messaging-api,endpoint-error,Send multicast message,400,"Couldn't send the message. Consider these reasons:<ul><li>A user ID that doesn't exist in this channel is specified, such as a user ID obtained from channels under other providers.</li><li>A non-user ID, such as a group ID, is specified.</li><li>An invalid message object is specified.</li></ul>",https://developers.line.biz/en/reference/messaging-api/#send-multicast-message
messaging-api,endpoint-error,Send multicast message,409,"A request containing the same retry key has already been accepted. For more information, see Response if the request has already been accepted in the Retrying an API request.",https://developers.line.biz/en/reference/messaging-api/#send-multicast-message
messaging-api,endpoint-error,Send multicast message,429,"The number of requests has exceeded the limit. Consider these reasons:<ul><li>Exceeded the rate limit for this endpoint.</li><li>Exceeded the target limit for sending messages this month.</li></ul>For more information about the target limit for sending messages, see Messaging API pricing in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#send-multicast-message
messaging-api,endpoint-error,Send narrowcast message,400,"Couldn't send the message. Consider these reasons:<ul><li>An invalid request ID is specified in the redelivery object.</li><li>An invalid audience is specified, such as a status other than READY.</li><li>An invalid message object is specified.</li><li>An invalid combination of request parameters is specified.</li></ul>",https://developers.line.biz/en/reference/messaging-api/#send-narrowcast-message
messaging-api,endpoint-error,Send narrowcast message,403,"Not enough recipients. For more information, see Restrictions on sending messages using attributes and audiences.",https://developers.line.biz/en/reference/messaging-api/#send-narrowcast-message
messaging-api,endpoint-error,Send narrowcast message,409,"A request containing the same retry key has already been accepted. For more information, see Response if the request has already been accepted in the Retrying an API request.",https://developers.line.biz/en/reference/messaging-api/#send-narrowcast-message
messaging-api,endpoint-error,Send narrowcast message,429,"The number of requests has exceeded the limit. Consider these reasons:<ul><li>Exceeded the rate limit for this endpoint.</li><li>Exceeded the target limit for sending messages this month.</li></ul>For more information about the target limit for sending messages, see Messaging API pricing in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#send-narrowcast-message
messaging-api,endpoint-error,Get narrowcast message status,400,An invalid request ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-narrowcast-message-status
messaging-api,endpoint-error,Get narrowcast message status,404,Unable to get the status. Consider these reasons:<ul><li>The period of time to get a status has expired.</li><li>A request ID other than narrowcast message is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-narrowcast-message-status
messaging-api,endpoint-error,Send broadcast message,400,An invalid message object is specified.,https://developers.line.biz/en/reference/messaging-api/#send-broadcast-message
messaging-api,endpoint-error,Send broadcast message,409,"A request containing the same retry key has already been accepted. For more information, see Response if the request has already been accepted in the Retrying an API request.",https://developers.line.biz/en/reference/messaging-api/#send-broadcast-message
messaging-api,endpoint-error,Send broadcast message,429,"The number of requests has exceeded the limit. Consider these reasons:<ul><li>Exceeded the rate limit for this endpoint.</li><li>Exceeded the target limit for sending messages this month.</li></ul>For more information about the target limit for sending messages, see Messaging API pricing in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#send-broadcast-message
messaging-api,endpoint-error,Mark messages as read,400,An invalid read token has been specified.,https://developers.line.biz/en/reference/messaging-api/#mark-messages-as-read
messaging-api,endpoint-error,Display a loading animation,400,Couldn't display the loading animation. Consider these reasons:<ul><li>An invalid number of seconds is specified.</li><li>An invalid user ID is specified.</li><li>A group chat or a multi-person chat is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#display-a-loading-animation
messaging-api,endpoint-error,Get number of sent reply messages,400,An invalid date format is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-reply-messages
messaging-api,endpoint-error,Get number of sent push messages,400,An invalid date format is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-push-messages
messaging-api,endpoint-error,Get number of sent multicast messages,400,An invalid date format is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-multicast-messages
messaging-api,endpoint-error,Get number of sent broadcast messages,400,An invalid date format is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-broadcast-messages
messaging-api,endpoint-error,Validate message objects of a reply message,400,An invalid message object is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-reply-message
messaging-api,endpoint-error,Validate message objects of a push message,400,An invalid message object is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-push-message
messaging-api,endpoint-error,Validate message objects of a multicast message,400,An invalid message object is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-multicast-message
messaging-api,endpoint-error,Validate message objects of a narrowcast message,400,An invalid message object is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-narrowcast-message
messaging-api,endpoint-error,Validate message objects of a broadcast message,400,An invalid message object is specified.,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-broadcast-message
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_CAN_NOT_UPLOAD_STATUS_EXPIRED,"This audience can't be used because it's been more than 180 days (15,552,000 seconds) since this audience was created.",https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_COUNT_MAX_OVER,"You have already created the maximum number of audiences (1,000).",https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_NAME_SIZE_OVER,The audience's name is too long.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_NAME_WRONG,The audience's name contains an invalid character (such as n or some other control character).,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_NAME_EMPTY,The audience's name is empty or contains only spaces.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_NOT_FOUND,Audience not found.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_REQUESTID_DUPLICATE,There is already an audience with the specified request ID.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,AUDIENCE_GROUP_UPLOAD_DESCRIPTION_SIZE_OVER,The audience's description is too long.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,REQUEST_NOT_FOUND,The specified request ID is incorrect or LINE not ready to create an audience with the specified request ID.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,TOO_OLD_MESSAGES,"You can't create an audience for a message (request ID) that was sent over 60 days (5,184,000 seconds) ago.",https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,UPLOAD_AUDIENCE_GROUP_INVALID_AUDIENCE_ID_FORMAT,"<ul><li>file contains an invalid user ID or IFA.</li><li>audiences[].id is an invalid user ID or IFA.</li></ul>If this message is returned, see Error-handling methods.",https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,UPLOAD_AUDIENCE_GROUP_NO_VALID_AUDIENCE_IDS,<ul><li>file doesn't contain a valid user ID or IFA.</li><li>audiences[].id isn't a valid user ID or IFA.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,UPLOAD_AUDIENCE_GROUP_TOO_MANY_AUDIENCE_IDS,Exceeded the maximum number of user IDs or IFAs.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,WRONG_BOT_ID,The bot ID in the specified request ID doesn't match the bot linked to the channel that issued the channel access token.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,error-detail,Managing Audience,ALREADY_ACTIVE,The audience group is already active.,https://developers.line.biz/en/reference/messaging-api/#details-of-the-error-related-to-audience-management
messaging-api,endpoint-error,Create audience for uploading user IDs (by JSON),400,"Problem with the request. Consider these reasons:<ul><li>You have already created the maximum number of audiences (1,000).<li>A name longer than the maximum number of characters (120) is specified in the description property.</li><li>An invalid character (such as n or some other control character) is specified in the description property.</li><li>The description property is empty or contains only spaces.</li><li>A string longer than the maximum number of characters (300) is specified in the uploadDescription property.</li><li>An invalid user ID or IFA is specified in the audiences[].id propert",https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-json
messaging-api,endpoint-error,Create audience for uploading user IDs (by JSON),429,"The limit on the number of concurrent operations has exceeded. For more information, see Limit on the number of concurrent operations.",https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-json
messaging-api,endpoint-error,Create audience for uploading user IDs (by file),400,"Problem with the request. Consider these reasons:<ul><li>The file specified in the file property contains an invalid user ID or IFA.</li><li>A file with more user IDs or IFAs than the maximum number (1,500,000) is specified in the file property.</li><li>The file specified in the file property doesn't contain a valid user ID or IFA.</li><li>You have already created the maximum number of audiences (1,000).</li><li>A name longer than the maximum number of characters (120) is specified in the description property.</li><li>An invalid character (such as n or some other control character) is specifie",https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-file
messaging-api,endpoint-error,Create audience for uploading user IDs (by file),415,An unsupported media format file is specified in the file property.,https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-file
messaging-api,endpoint-error,Create audience for uploading user IDs (by file),429,"The limit on the number of concurrent operations has exceeded. For more information, see Limit on the number of concurrent operations.",https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-file
messaging-api,endpoint-error,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by JSON),400,"Problem with the request. Consider these reasons:<ul><li>An invalid user ID or IFA is specified in the audiences[].id property.</li><li>More user IDs or IFAs than the maximum number (10,000) are specified in the audiences property.</li><li>A invalid user ID or IFA isn't specified in the audiences[].id property.</li><li>The audience that has exceeded the retention period is specified.</li><li>A non-existent audience is specified.</li><li>A string longer than the maximum number of characters (300) is specified in the uploadDescription property.</li></ul>",https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-json
messaging-api,endpoint-error,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by JSON),429,"The limit on the number of concurrent operations has exceeded. For more information, see Limit on the number of concurrent operations.",https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-json
messaging-api,endpoint-error,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by file),400,"Problem with the request. Consider these reasons:<ul><li>The file specified in the file property contains an invalid user ID or IFA.</li><li>A file with more user IDs or IFAs than the maximum number (1,500,000) is specified in the file property.</li><li>The file specified in the file property doesn't contain a valid user ID or IFA.</li><li>The audience that has exceeded the retention period is specified.</li><li>A non-existent audience is specified.</li><li>A string longer than the maximum number of characters (300) is specified in the uploadDescription property.</li></ul>",https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-file
messaging-api,endpoint-error,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by file),415,An unsupported media format file is specified in the file property.,https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-file
messaging-api,endpoint-error,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by file),429,"The limit on the number of concurrent operations has exceeded. For more information, see Limit on the number of concurrent operations.",https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-file
messaging-api,endpoint-error,Create message click audience,400,"Problem with the request. Consider these reasons:<ul><li>You have already created the maximum number of audiences (1,000).</li><li>A name longer than the maximum number of characters (120) is specified in the description property.</li><li>An invalid character (such as n or some other control character) is specified in the description property.</li><li>The requestID and clickUrl properties have the same combination of values as the existing audience.</li><li>The time limit for creating an audience has expired.</li><li>A non-existent request ID is specified.</li><li>The LINE Platform isn't ready",https://developers.line.biz/en/reference/messaging-api/#create-message-click-audience
messaging-api,endpoint-error,Create message impression audience,400,"Problem with the request. Consider these reasons:<ul><li>You have already created the maximum number of audiences (1,000).</li><li>A name longer than the maximum number of characters (120) is specified in the description property.</li><li>An invalid character (such as n or some other control character) is specified in the description property.</li><li>There is already an audience with the specified request ID.</li><li>The time limit for creating an audience has expired.</li><li>A non-existent request ID is specified.</li><li>The LINE Platform isn't ready to create an audience with the specifie",https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,endpoint-error,Rename an audience,400,Problem with the request. Consider these reasons:<ul><li>A name longer than the maximum number of characters (120) is specified in the description property.</li><li>An invalid character (such as n or some other control character) is specified in the description property.</li><li>A non-existent audience is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#rename-an-audience
messaging-api,endpoint-error,Delete audience,400,A non-existent audience is specified.,https://developers.line.biz/en/reference/messaging-api/#delete-audience
messaging-api,endpoint-error,Get audience data,400,A non-existent audience is specified.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,endpoint-error,Get data for multiple audiences,400,An invalid query parameter is specified.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,endpoint-error,Get shared audience data in Business Manager,400,A non-existent audience is specified.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,endpoint-error,Get a list of shared audiences in Business Manager,400,An invalid query parameter is specified.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-shared-audiences-in-business-manager
messaging-api,endpoint-error,Get number of message deliveries,400,An invalid date is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-message-deliveries
messaging-api,endpoint-error,Get number of followers,400,No date or an invalid date is specified.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-followers
messaging-api,endpoint-error,Get statistics per unit,400,Unable to get the statistic. Consider these reasons:<ul><li>No unit name specified.</li><li>No aggregation period date specified.</li><li>Invalid aggregation period date specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-statistics-per-unit
messaging-api,endpoint-error,Get a list of unit names assigned during this month,400,Problem with the request. Consider these reasons:<ul><li>An invalid continuation token is specified.</li><li>An invalid value is specified for the limit property.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-unit-names-assigned-during-this-month
messaging-api,endpoint-error,Get rich menu insight totals,400,Unable to get the statistic. Consider these reasons:<ul><li>No aggregation period date specified.</li><li>Invalid aggregation period date specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-totals
messaging-api,endpoint-error,Get rich menu insight totals,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-totals
messaging-api,endpoint-error,Get rich menu insight by day,400,Unable to get the statistic. Consider these reasons:<ul><li>No aggregation period date specified.</li><li>Invalid aggregation period date specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,endpoint-error,Get rich menu insight by day,404,A non-existent rich menu is specified.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,endpoint-error,Create a coupon,400,"Couldn't create a coupon. Consider these reasons:<ul><li>An invalid coupon type is specified.</li><li>The maximum number of valid coupons (maximum 5,000) has been reached.</li><li>A property that does not match priceInfo.type is specified in the reward object.</li></ul>",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,endpoint-error,Discontinue a coupon,410,The coupon ID for a discontinued coupon has been specified.,https://developers.line.biz/en/reference/messaging-api/#discontinue-a-coupon
messaging-api,endpoint-error,Discontinue a coupon,404,The specified coupon doesn't exist.,https://developers.line.biz/en/reference/messaging-api/#discontinue-a-coupon
messaging-api,endpoint-error,Get a list of coupons,400,Could not get the list of coupons. Possible reasons include:<ul><li>An invalid status is specified.</li><li>The maximum number of coupons to retrieve exceeds 100.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,endpoint-error,Get details of a coupon,404,The specified coupon does not exist. Consider these reasons:<ul><li>A coupon created in another channel is specified.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,endpoint-error,Get profile,400,An invalid user ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,endpoint-error,Get profile,404,"Unable to get profile information. Consider these reasons:<ul><li>Target user ID doesn't exist.</li><li>The user hasn't consented to their profile information being obtained.</li><li>The user hasn't added the target LINE Official Account as a friend.</li><li>The user blocked the target LINE Official Account after adding it as a friend.</li></ul>For more information, see Consent on getting user profile information in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,endpoint-error,Get a list of users who added your LINE Official Account as a friend,400,An invalid continuation token is specified.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,endpoint-error,Get a list of users who added your LINE Official Account as a friend,403,Not authorized to use this endpoint. Only available for verified accounts or premium accounts.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,endpoint-error,Get a user's membership subscription status,400,An invalid user ID is specified.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,endpoint-error,Get a user's membership subscription status,404,Unable to get information about the membership to which the user subscribes. Consider these reasons:<ul><li>User doesn't subscribe to membership</li><li>Target user ID doesn't exist</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,endpoint-error,Get a list of users who have joined the membership,400,Problem with the request. Consider these reasons:<ul><li>An invalid continuation token is specified.</li><li>An invalid value is specified for the limit query parameter.</li></ul>,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,endpoint-error,Get a list of users who have joined the membership,404,A membership ID that doesn't exist is specified for the membershipId path parameter.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,endpoint-error,Get membership plans being offered,404,No membership plans offered.,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
