api,category,title,method,host,path,query_params,auth,rate_limit,operation_id,spec,description,doc_url
line-notification-messages,LINE notification messages (flexible),Get number of sent LINE notification messages (flexible),GET,https://api.line.me,/v2/bot/message/delivery/pnp,,channel access token,"2,000 requests per second",getPNPMessageStatistics,messaging-api.yml,Get number of sent LINE notification messages,https://developers.line.biz/en/reference/line-notification-messages/#get-number-of-sent-line-notification-messages-flexible
line-notification-messages,LINE notification messages (template),Get number of sent LINE notification messages (template),GET,https://api.line.me,/v2/bot/message/delivery/pnp/templated,,channel access token,"2,000 requests per second",,,,https://developers.line.biz/en/reference/line-notification-messages/#get-number-of-sent-line-notification-messages-template
line-notification-messages,LINE notification messages (template),Send a LINE notification message (template),POST,https://api.line.me,/v2/bot/message/pnp/templated/push,,channel access token,"2,000 requests per second",,,,https://developers.line.biz/en/reference/line-notification-messages/#send-a-line-notification-message-template
messaging-api,Channel access token,Revoke channel access token v2.1,POST,https://api.line.me,/oauth2/v2.1/revoke,,channel access token,,revokeChannelTokenByJWT,channel-access-token.yml,Revoke channel access token v2.1,https://developers.line.biz/en/reference/messaging-api/#revoke-channel-access-token-v21
messaging-api,Channel access token,Issue channel access token v2.1,POST,https://api.line.me,/oauth2/v2.1/token,,channel ID + channel secret,,issueChannelTokenByJWT,channel-access-token.yml,Issues a channel access token that allows you to specify a desired expiration date. This method lets you use JWT assertion for authentication.,https://developers.line.biz/en/reference/messaging-api/#issue-channel-access-token-v21
messaging-api,Channel access token,Get all valid channel access token key IDs v2.1,GET,https://api.line.me,/oauth2/v2.1/tokens/kid,,channel ID + channel secret,,getsAllValidChannelAccessTokenKeyIds,channel-access-token.yml,Gets all valid channel access token key IDs.,https://developers.line.biz/en/reference/messaging-api/#get-all-valid-channel-access-token-key-ids-v21
messaging-api,Channel access token,Verify the validity of the channel access token v2.1,GET,https://api.line.me,/oauth2/v2.1/verify,,channel access token,,verifyChannelTokenByJWT,channel-access-token.yml,You can verify whether a Channel access token with a user-specified expiration (Channel Access Token v2.1) is valid.,https://developers.line.biz/en/reference/messaging-api/#verify-the-validity-of-the-channel-access-token-v21
messaging-api,Channel access token,Issue stateless channel access token,POST,https://api.line.me,/oauth2/v3/token,,channel access token,,issueStatelessChannelToken,channel-access-token.yml,"Issues a new stateless channel access token, which doesn't have max active token limit unlike the other token types. The newly issued token is only valid for 15 minutes but can not be revoked until it naturally expires.",https://developers.line.biz/en/reference/messaging-api/#issue-stateless-channel-access-token
messaging-api,Managing Audience,Create message click audience,POST,https://api.line.me,/v2/bot/audienceGroup/click,,channel access token,60 requests per minute,createClickBasedAudienceGroup,manage-audience.yml,Create audience for click-based retargeting,https://developers.line.biz/en/reference/messaging-api/#create-message-click-audience
messaging-api,Managing Audience,Create message impression audience,POST,https://api.line.me,/v2/bot/audienceGroup/imp,,channel access token,60 requests per minute,createImpBasedAudienceGroup,manage-audience.yml,Create audience for impression-based retargeting,https://developers.line.biz/en/reference/messaging-api/#create-message-impression-audience
messaging-api,Managing Audience,Get data for multiple audiences,GET,https://api.line.me,/v2/bot/audienceGroup/list,,channel access token,60 requests per minute,getAudienceGroups,manage-audience.yml,Gets data for more than one audience.,https://developers.line.biz/en/reference/messaging-api/#get-data-for-multiple-audiences
messaging-api,Managing Audience,Get a list of shared audiences in Business Manager,GET,https://api.line.me,/v2/bot/audienceGroup/shared/list,,channel access token,60 requests per minute,getSharedAudienceGroups,manage-audience.yml,"Gets data for more than one audience, including those shared by the Business Manager.",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-shared-audiences-in-business-manager
messaging-api,Managing Audience,Get shared audience data in Business Manager,GET,https://api.line.me,/v2/bot/audienceGroup/shared/{audienceGroupId},,channel access token,60 requests per minute,getSharedAudienceData,manage-audience.yml,Gets audience data.,https://developers.line.biz/en/reference/messaging-api/#get-shared-audience-data-in-business-manager
messaging-api,Managing Audience,Create audience for uploading user IDs (by JSON),POST,https://api.line.me,/v2/bot/audienceGroup/upload,,channel access token,60 requests per minute,createAudienceGroup,manage-audience.yml,Create audience for uploading user IDs (by JSON),https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-json
messaging-api,Managing Audience,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by JSON),PUT,https://api.line.me,/v2/bot/audienceGroup/upload,,channel access token,60 requests per minute,addAudienceToAudienceGroup,manage-audience.yml,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by JSON),https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-json
messaging-api,Managing Audience,Create audience for uploading user IDs (by file),POST,https://api-data.line.me,/v2/bot/audienceGroup/upload/byFile,,channel access token,60 requests per minute,createAudienceForUploadingUserIds,manage-audience.yml,Create audience for uploading user IDs (by file).,https://developers.line.biz/en/reference/messaging-api/#create-audience-for-uploading-user-ids-by-file
messaging-api,Managing Audience,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by file),PUT,https://api-data.line.me,/v2/bot/audienceGroup/upload/byFile,,channel access token,60 requests per minute,addUserIdsToAudience,manage-audience.yml,Add user IDs or Identifiers for Advertisers (IFAs) to an audience for uploading user IDs (by file).,https://developers.line.biz/en/reference/messaging-api/#add-user-ids-or-identifiers-for-advertisers-ifas-to-an-audience-for-uploading-user-ids-by-file
messaging-api,Managing Audience,Delete audience,DELETE,https://api.line.me,/v2/bot/audienceGroup/{audienceGroupId},,channel access token,60 requests per minute,deleteAudienceGroup,manage-audience.yml,Delete audience,https://developers.line.biz/en/reference/messaging-api/#delete-audience
messaging-api,Managing Audience,Get audience data,GET,https://api.line.me,/v2/bot/audienceGroup/{audienceGroupId},,channel access token,60 requests per minute,getAudienceData,manage-audience.yml,Gets audience data.,https://developers.line.biz/en/reference/messaging-api/#get-audience-data
messaging-api,Managing Audience,Rename an audience,PUT,https://api.line.me,/v2/bot/audienceGroup/{audienceGroupId}/updateDescription,,channel access token,60 requests per minute,updateAudienceGroupDescription,manage-audience.yml,Renames an existing audience.,https://developers.line.biz/en/reference/messaging-api/#rename-an-audience
messaging-api,Webhook settings,Get webhook endpoint information,GET,https://api.line.me,/v2/bot/channel/webhook/endpoint,,channel access token,"1,000 requests per minute",getWebhookEndpoint,messaging-api.yml,Get webhook endpoint information,https://developers.line.biz/en/reference/messaging-api/#get-webhook-endpoint-information
messaging-api,Webhook settings,Set webhook endpoint URL,PUT,https://api.line.me,/v2/bot/channel/webhook/endpoint,,channel access token,"1,000 requests per minute",setWebhookEndpoint,messaging-api.yml,Set webhook endpoint URL,https://developers.line.biz/en/reference/messaging-api/#set-webhook-endpoint-url
messaging-api,Webhook settings,Test webhook endpoint,POST,https://api.line.me,/v2/bot/channel/webhook/test,,channel access token,60 requests per hour,testWebhookEndpoint,messaging-api.yml,Test webhook endpoint,https://developers.line.biz/en/reference/messaging-api/#test-webhook-endpoint
messaging-api,Message,Display a loading animation,POST,https://api.line.me,/v2/bot/chat/loading/start,,channel access token,100 requests per second,showLoadingAnimation,messaging-api.yml,Display a loading animation in one-on-one chats between users and LINE Official Accounts.,https://developers.line.biz/en/reference/messaging-api/#display-a-loading-animation
messaging-api,Message,Mark messages as read,POST,https://api.line.me,/v2/bot/chat/markAsRead,,channel access token,"2,000 requests per second",markMessagesAsReadByToken,messaging-api.yml,Mark messages from users as read by token,https://developers.line.biz/en/reference/messaging-api/#mark-messages-as-read
messaging-api,Coupon,Get a list of coupons,GET,https://api.line.me,/v2/bot/coupon,,channel access token,200 requests per second,listCoupon,messaging-api.yml,Get a paginated list of coupons.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Create a coupon,POST,https://api.line.me,/v2/bot/coupon,,channel access token,200 requests per second,createCoupon,messaging-api.yml,"Create a new coupon. Define coupon details such as type, title, and validity period.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Get details of a coupon,GET,https://api.line.me,/v2/bot/coupon/{couponId},,channel access token,200 requests per second,getCouponDetail,messaging-api.yml,Get coupon detail,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Discontinue a coupon,PUT,https://api.line.me,/v2/bot/coupon/{couponId}/close,,channel access token,200 requests per second,closeCoupon,messaging-api.yml,Close coupon,https://developers.line.biz/en/reference/messaging-api/#discontinue-a-coupon
messaging-api,Users,Get a list of users who added your LINE Official Account as a friend,GET,https://api.line.me,/v2/bot/followers/ids,,channel access token,"2,000 requests per second",getFollowers,messaging-api.yml,Get a list of users who added your LINE Official Account as a friend,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,Group chats,Leave group chat,POST,https://api.line.me,/v2/bot/group/{groupId}/leave,,channel access token,"2,000 requests per second",leaveGroup,messaging-api.yml,Leave group chat,https://developers.line.biz/en/reference/messaging-api/#leave-group-chat
messaging-api,Group chats,Get group chat member profile,GET,https://api.line.me,/v2/bot/group/{groupId}/member/{userId},,channel access token,"2,000 requests per second",getGroupMemberProfile,messaging-api.yml,Get group chat member profile,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-profile
messaging-api,Group chats,Get number of users in a group chat,GET,https://api.line.me,/v2/bot/group/{groupId}/members/count,,channel access token,"2,000 requests per second",getGroupMemberCount,messaging-api.yml,Get number of users in a group chat,https://developers.line.biz/en/reference/messaging-api/#get-number-of-users-in-a-group-chat
messaging-api,Group chats,Get group chat member user IDs,GET,https://api.line.me,/v2/bot/group/{groupId}/members/ids,,channel access token,"2,000 requests per second",getGroupMembersIds,messaging-api.yml,Get group chat member user IDs,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-member-user-ids
messaging-api,Group chats,Get group chat summary,GET,https://api.line.me,/v2/bot/group/{groupId}/summary,,channel access token,"2,000 requests per second",getGroupSummary,messaging-api.yml,Get group chat summary,https://developers.line.biz/en/reference/messaging-api/#get-group-chat-summary
messaging-api,LINE Official Account (bot),Get LINE Official Account (bot) info,GET,https://api.line.me,/v2/bot/info,,channel access token,"2,000 requests per second",getBotInfo,messaging-api.yml,Get bot info,https://developers.line.biz/en/reference/messaging-api/#get-line-official-account-bot-info
messaging-api,Insights,Get friend demographics,GET,https://api.line.me,/v2/bot/insight/demographic,,channel access token,60 requests per hour,getFriendsDemographics,insight.yml,"Retrieves the demographic attributes for a LINE Official Account's friends.You can only retrieve information about friends for LINE Official Accounts created by users in Japan (JP), Thailand (TH), Taiwan (TW) and Indonesia (ID).",https://developers.line.biz/en/reference/messaging-api/#get-friend-demographics
messaging-api,Insights,Get number of followers,GET,https://api.line.me,/v2/bot/insight/followers,date,channel access token,60 requests per hour,getNumberOfFollowers,insight.yml,Returns the number of users who have added the LINE Official Account on or before a specified date.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-followers
messaging-api,Insights,Get number of message deliveries,GET,https://api.line.me,/v2/bot/insight/message/delivery,date,channel access token,60 requests per hour,getNumberOfMessageDeliveries,insight.yml,Returns the number of messages sent from LINE Official Account on a specified day.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-message-deliveries
messaging-api,Insights,Get user interaction statistics,GET,https://api.line.me,/v2/bot/insight/message/event,requestId,channel access token,60 requests per hour,getMessageEvent,insight.yml,Returns statistics about how users interact with narrowcast messages or broadcast messages sent from your LINE Official Account.,https://developers.line.biz/en/reference/messaging-api/#get-user-interaction-statistics
messaging-api,Insights,Get statistics per unit,GET,https://api.line.me,/v2/bot/insight/message/event/aggregation,"customAggregationUnit,from,to",channel access token,60 requests per hour,getStatisticsPerUnit,insight.yml,You can check the per-unit statistics of how users interact with push messages and multicast messages sent from your LINE Official Account.,https://developers.line.biz/en/reference/messaging-api/#get-statistics-per-unit
messaging-api,Insights,Get rich menu insight by day,GET,https://api.line.me,/v2/bot/insight/richmenu/{richMenuId}/daily,"from,to",channel access token,60 requests per hour,getRichMenuInsightDaily,insight.yml,"Gets rich menu statistics broken down by day for the specified period, for a rich menu created via the Messaging API. Returns the daily impression count for the whole rich menu and the daily click count for each tappable area. When the total number of unique clicks during the period is below the privacy threshold, only `richMenuId` is returned and the other fields are omitted.",https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,Insights,Get rich menu insight totals,GET,https://api.line.me,/v2/bot/insight/richmenu/{richMenuId}/summary,"from,to",channel access token,60 requests per hour,getRichMenuInsightSummary,insight.yml,"Gets a summary of rich menu statistics for the specified period, for a rich menu created via the Messaging API. Returns the total impression count for the whole rich menu and the click count for each tappable area, aggregated over the entire period as a single result. When the total number of unique clicks during the period is below the privacy threshold, only `richMenuId` is returned and the other fields are omitted.",https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-totals
messaging-api,Membership,Get membership plans being offered,GET,https://api.line.me,/v2/bot/membership/list,,channel access token,200 requests per second,getMembershipList,messaging-api.yml,Get a list of memberships.,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get a user's membership subscription status,GET,https://api.line.me,/v2/bot/membership/subscription/{userId},,channel access token,200 requests per second,getMembershipSubscription,messaging-api.yml,Get a user's membership subscription.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a list of users who have joined the membership,GET,https://api.line.me,/v2/bot/membership/{membershipId}/users/ids,,channel access token,200 requests per second,getJoinedMembershipUsers,messaging-api.yml,Get a list of user IDs who joined the membership.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Insights,Get the number of unit name types assigned during this month,GET,https://api.line.me,/v2/bot/message/aggregation/info,,channel access token,"2,000 requests per second",getAggregationUnitUsage,messaging-api.yml,Get number of units used this month,https://developers.line.biz/en/reference/messaging-api/#get-the-number-of-unit-name-types-assigned-during-this-month
messaging-api,Insights,Get a list of unit names assigned during this month,GET,https://api.line.me,/v2/bot/message/aggregation/list,,channel access token,"2,000 requests per second",getAggregationUnitNameList,messaging-api.yml,Get name list of units used this month,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-unit-names-assigned-during-this-month
messaging-api,Message,Send broadcast message,POST,https://api.line.me,/v2/bot/message/broadcast,,channel access token,60 requests per hour,broadcast,messaging-api.yml,Sends a message to multiple users at any time.,https://developers.line.biz/en/reference/messaging-api/#send-broadcast-message
messaging-api,Message,Get number of sent broadcast messages,GET,https://api.line.me,/v2/bot/message/delivery/broadcast,,channel access token,"2,000 requests per second",getNumberOfSentBroadcastMessages,messaging-api.yml,Get number of sent broadcast messages,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-broadcast-messages
messaging-api,Message,Get number of sent multicast messages,GET,https://api.line.me,/v2/bot/message/delivery/multicast,,channel access token,"2,000 requests per second",getNumberOfSentMulticastMessages,messaging-api.yml,Get number of sent multicast messages,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-multicast-messages
messaging-api,Message,Get number of sent push messages,GET,https://api.line.me,/v2/bot/message/delivery/push,,channel access token,"2,000 requests per second",getNumberOfSentPushMessages,messaging-api.yml,Get number of sent push messages,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-push-messages
messaging-api,Message,Get number of sent reply messages,GET,https://api.line.me,/v2/bot/message/delivery/reply,,channel access token,"2,000 requests per second",getNumberOfSentReplyMessages,messaging-api.yml,Get number of sent reply messages,https://developers.line.biz/en/reference/messaging-api/#get-number-of-sent-reply-messages
messaging-api,Message,Send multicast message,POST,https://api.line.me,/v2/bot/message/multicast,,channel access token,200 requests per second,multicast,messaging-api.yml,An API that efficiently sends the same message to multiple user IDs. You can't send messages to group chats or multi-person chats.,https://developers.line.biz/en/reference/messaging-api/#send-multicast-message
messaging-api,Message,Send narrowcast message,POST,https://api.line.me,/v2/bot/message/narrowcast,,channel access token,60 requests per hour,narrowcast,messaging-api.yml,Send narrowcast message,https://developers.line.biz/en/reference/messaging-api/#send-narrowcast-message
messaging-api,Message,Get narrowcast message status,GET,https://api.line.me,/v2/bot/message/progress/narrowcast,,channel access token,"2,000 requests per second",getNarrowcastProgress,messaging-api.yml,Gets the status of a narrowcast message.,https://developers.line.biz/en/reference/messaging-api/#get-narrowcast-message-status
messaging-api,Message,Send push message,POST,https://api.line.me,/v2/bot/message/push,,channel access token,"2,000 requests per second",pushMessage,messaging-api.yml,"Sends a message to a user, group chat, or multi-person chat at any time.",https://developers.line.biz/en/reference/messaging-api/#send-push-message
messaging-api,Message,Get the target limit for sending messages this month,GET,https://api.line.me,/v2/bot/message/quota,,channel access token,"2,000 requests per second",getMessageQuota,messaging-api.yml,Gets the target limit for sending messages in the current month. The total number of the free messages and the additional messages is returned.,https://developers.line.biz/en/reference/messaging-api/#get-the-target-limit-for-sending-messages-this-month
messaging-api,Message,Get number of messages sent this month,GET,https://api.line.me,/v2/bot/message/quota/consumption,,channel access token,"2,000 requests per second",getMessageQuotaConsumption,messaging-api.yml,Gets the number of messages sent in the current month.,https://developers.line.biz/en/reference/messaging-api/#get-number-of-messages-sent-this-month
messaging-api,Message,Send reply message,POST,https://api.line.me,/v2/bot/message/reply,,channel access token,"2,000 requests per second",replyMessage,messaging-api.yml,Send reply message,https://developers.line.biz/en/reference/messaging-api/#send-reply-message
messaging-api,Message,Validate message objects of a broadcast message,POST,https://api.line.me,/v2/bot/message/validate/broadcast,,channel access token,"2,000 requests per second",validateBroadcast,messaging-api.yml,Validate message objects of a broadcast message,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-broadcast-message
messaging-api,Message,Validate message objects of a multicast message,POST,https://api.line.me,/v2/bot/message/validate/multicast,,channel access token,"2,000 requests per second",validateMulticast,messaging-api.yml,Validate message objects of a multicast message,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-multicast-message
messaging-api,Message,Validate message objects of a narrowcast message,POST,https://api.line.me,/v2/bot/message/validate/narrowcast,,channel access token,"2,000 requests per second",validateNarrowcast,messaging-api.yml,Validate message objects of a narrowcast message,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-narrowcast-message
messaging-api,Message,Validate message objects of a push message,POST,https://api.line.me,/v2/bot/message/validate/push,,channel access token,"2,000 requests per second",validatePush,messaging-api.yml,Validate message objects of a push message,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-push-message
messaging-api,Message,Validate message objects of a reply message,POST,https://api.line.me,/v2/bot/message/validate/reply,,channel access token,"2,000 requests per second",validateReply,messaging-api.yml,Validate message objects of a reply message,https://developers.line.biz/en/reference/messaging-api/#validate-message-objects-of-a-reply-message
messaging-api,Getting content,Get content,GET,https://api-data.line.me,/v2/bot/message/{messageId}/content,,channel access token,,getMessageContent,messaging-api.yml,"Download image, video, and audio data sent from users.",https://developers.line.biz/en/reference/messaging-api/#get-content
messaging-api,Getting content,Get a preview image of the image or video,GET,https://api-data.line.me,/v2/bot/message/{messageId}/content/preview,,channel access token,,getMessageContentPreview,messaging-api.yml,Get a preview image of the image or video,https://developers.line.biz/en/reference/messaging-api/#get-a-preview-image-of-the-image-or-video
messaging-api,Getting content,Verify the preparation status of a video or audio for getting,GET,https://api-data.line.me,/v2/bot/message/{messageId}/content/transcoding,,channel access token,,getMessageContentTranscodingByMessageId,messaging-api.yml,Verify the preparation status of a video or audio for getting,https://developers.line.biz/en/reference/messaging-api/#verify-the-preparation-status-of-a-video-or-audio-for-getting
messaging-api,Users,Get profile,GET,https://api.line.me,/v2/bot/profile/{userId},,channel access token,"2,000 requests per second",getProfile,messaging-api.yml,Get profile,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Rich menu,Create rich menu,POST,https://api.line.me,/v2/bot/richmenu,,channel access token,100 requests per hour,createRichMenu,messaging-api.yml,Create rich menu,https://developers.line.biz/en/reference/messaging-api/#create-rich-menu
messaging-api,Rich menu alias,Create rich menu alias,POST,https://api.line.me,/v2/bot/richmenu/alias,,channel access token,"2,000 requests per second",createRichMenuAlias,messaging-api.yml,Create rich menu alias,https://developers.line.biz/en/reference/messaging-api/#create-rich-menu-alias
messaging-api,Rich menu alias,Get list of rich menu alias,GET,https://api.line.me,/v2/bot/richmenu/alias/list,,channel access token,"2,000 requests per second",getRichMenuAliasList,messaging-api.yml,Get list of rich menu alias,https://developers.line.biz/en/reference/messaging-api/#get-list-of-rich-menu-alias
messaging-api,Rich menu alias,Delete rich menu alias,DELETE,https://api.line.me,/v2/bot/richmenu/alias/{richMenuAliasId},,channel access token,100 requests per hour,deleteRichMenuAlias,messaging-api.yml,Delete rich menu alias,https://developers.line.biz/en/reference/messaging-api/#delete-rich-menu-alias
messaging-api,Rich menu alias,Get rich menu alias information,GET,https://api.line.me,/v2/bot/richmenu/alias/{richMenuAliasId},,channel access token,"2,000 requests per second",getRichMenuAlias,messaging-api.yml,Get rich menu alias information,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-alias-information
messaging-api,Rich menu alias,Update rich menu alias,POST,https://api.line.me,/v2/bot/richmenu/alias/{richMenuAliasId},,channel access token,"2,000 requests per second",updateRichMenuAlias,messaging-api.yml,Update rich menu alias,https://developers.line.biz/en/reference/messaging-api/#update-rich-menu-alias
messaging-api,Per-user rich menu,Replace or unlink the linked rich menus in batches,POST,https://api.line.me,/v2/bot/richmenu/batch,,channel access token,3 requests per hour,richMenuBatch,messaging-api.yml,You can use this endpoint to batch control the rich menu linked to the users using the endpoint such as Link rich menu to user. The following operations are available: 1. Replace a rich menu with another rich menu for all users linked to a specific rich menu 2. Unlink a rich menu for all users linked to a specific rich menu 3. Unlink a rich menu for all users linked the rich menu,https://developers.line.biz/en/reference/messaging-api/#replace-or-unlink-the-linked-rich-menus-in-batches
messaging-api,Per-user rich menu,Link rich menu to multiple users,POST,https://api.line.me,/v2/bot/richmenu/bulk/link,,channel access token,"2,000 requests per second",linkRichMenuIdToUsers,messaging-api.yml,Link rich menu to multiple users,https://developers.line.biz/en/reference/messaging-api/#link-rich-menu-to-multiple-users
messaging-api,Per-user rich menu,Unlink rich menus from multiple users,POST,https://api.line.me,/v2/bot/richmenu/bulk/unlink,,channel access token,"2,000 requests per second",unlinkRichMenuIdFromUsers,messaging-api.yml,Unlink rich menus from multiple users,https://developers.line.biz/en/reference/messaging-api/#unlink-rich-menus-from-multiple-users
messaging-api,Rich menu,Get rich menu list,GET,https://api.line.me,/v2/bot/richmenu/list,,channel access token,10 requests per second,getRichMenuList,messaging-api.yml,Get rich menu list,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-list
messaging-api,Per-user rich menu,Get the status of rich menu batch control,GET,https://api.line.me,/v2/bot/richmenu/progress/batch,,channel access token,100 requests per hour,getRichMenuBatchProgress,messaging-api.yml,Get the status of Replace or unlink a linked rich menus in batches.,https://developers.line.biz/en/reference/messaging-api/#get-the-status-of-rich-menu-batch-control
messaging-api,Rich menu,Validate rich menu object,POST,https://api.line.me,/v2/bot/richmenu/validate,,channel access token,"2,000 requests per second",validateRichMenuObject,messaging-api.yml,Validate rich menu object,https://developers.line.biz/en/reference/messaging-api/#validate-rich-menu-object
messaging-api,Per-user rich menu,Validate a request of rich menu batch control,POST,https://api.line.me,/v2/bot/richmenu/validate/batch,,channel access token,"2,000 requests per second",validateRichMenuBatchRequest,messaging-api.yml,Validate a request body of the Replace or unlink the linked rich menus in batches endpoint.,https://developers.line.biz/en/reference/messaging-api/#validate-a-request-of-rich-menu-batch-control
messaging-api,Rich menu,Delete rich menu,DELETE,https://api.line.me,/v2/bot/richmenu/{richMenuId},,channel access token,100 requests per hour,deleteRichMenu,messaging-api.yml,Deletes a rich menu.,https://developers.line.biz/en/reference/messaging-api/#delete-rich-menu
messaging-api,Rich menu,Get rich menu,GET,https://api.line.me,/v2/bot/richmenu/{richMenuId},,channel access token,"2,000 requests per second",getRichMenu,messaging-api.yml,Gets a rich menu via a rich menu ID.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu
messaging-api,Rich menu,Download rich menu image,GET,https://api-data.line.me,/v2/bot/richmenu/{richMenuId}/content,,channel access token,"2,000 requests per second",getRichMenuImage,messaging-api.yml,Download rich menu image.,https://developers.line.biz/en/reference/messaging-api/#download-rich-menu-image
messaging-api,Rich menu,Upload rich menu image,POST,https://api-data.line.me,/v2/bot/richmenu/{richMenuId}/content,,channel access token,"2,000 requests per second",setRichMenuImage,messaging-api.yml,Upload rich menu image,https://developers.line.biz/en/reference/messaging-api/#upload-rich-menu-image
messaging-api,Multi-person chats,Leave multi-person chat,POST,https://api.line.me,/v2/bot/room/{roomId}/leave,,channel access token,"2,000 requests per second",leaveRoom,messaging-api.yml,Leave multi-person chat,https://developers.line.biz/en/reference/messaging-api/#leave-multi-person-chat
