question,product,tags,doc_url
Clicking the Like button on the mobile version doesn't work.,LINE Social Plugins,"LINE Social Plugins, Like button",https://developers.line.biz/en/faq/#click-sp-button-in-mobile-doesnt-work
Can I add buttons to native iOS and Android apps?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#can-i-add-button-to-ios-android
Can I see my own share history?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#can-i-see-my-share-history
Can I share just a certain selection of text with the LINE Share button?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#can-i-share-certain-selection-of-text
Can I share photos and videos with the LINE Share button?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#can-i-share-photo-video
Can I use my own icon for the LINE Share button?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#can-i-use-my-own-icon-line-share
"When clicking the LINE Share button in the Safari browser, the login process repeats infinitely.",LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#infinite-login-in-safari
"When using the Share button, is it possible to share text with the URL?",LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#is-it-possible-to-share-text-with-url
Are there any sites where you can't add the LINE Share button?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#is-there-site-cant-have-share-button
"I set a custom icon Share button using the share counter API documentation, but an error occurs and the API doesn't work.",LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#share-counter-api-doesnt-work
"When using the LINE Share button, the URL preview sometimes does not appear.",LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#share-preview-not-possible
Why does text that I shared with the LINE Share button appear garbled?,LINE Social Plugins,"LINE Social Plugins, LINE Share button",https://developers.line.biz/en/faq/#why-text-i-share-garbled
