issue,symptom,cause,solution,area,severity,doc_url
圖片/影片訊息送出後不顯示,收到訊息但圖片是破圖,originalContentUrl 非 HTTPS、TLS 低於 1.2、格式非 JPEG/PNG、或超過 10MB,image：HTTPS(TLS1.2+)、JPEG/PNG、原圖 ≤10MB、預覽圖 ≤1MB。URL 需以 UTF-8 percent-encode,message,medium,https://developers.line.biz/en/reference/messaging-api/#image-message
Flex Message 送出 400,回 The request body has N error(s),Flex JSON 結構不符（例如 box 少了 layout、text 少了 text）,先用 POST /v2/bot/message/validate/push 驗證，或用 scripts/validate.py；carousel 最多 12 個 bubble,flex,medium,https://developers.line.biz/en/docs/messaging-api/using-flex-messages/
Rich menu 圖片上傳失敗,POST /v2/bot/richmenu/{id}/content 回 400,圖片規格不符,JPEG 或 PNG、寬 800–2500px、高 ≥250px、寬高比 ≥1.45、檔案 ≤1MB。且必須送到 api-data.line.me 而非 api.line.me,richmenu,medium,https://developers.line.biz/en/reference/messaging-api/#upload-rich-menu-image
Rich menu 上傳打到 api.line.me 失敗,404 或 connection 錯誤,上傳/下載內容類端點在不同網域,Get content、Upload/Download rich menu image、Audience by file 這幾支要用 https://api-data.line.me,messaging-api,medium,https://developers.line.biz/en/reference/messaging-api/#domain-name
liff.init() 失敗 invalid liff id,LIFF 頁面白畫面，console 顯示 init 錯誤,LIFF ID 錯、或目前網址不在 LIFF app 的 Endpoint URL 路徑底下,LIFF app 的 Endpoint URL 必須是目前頁面的上層路徑；本機測試請用 HTTPS（ngrok / liff-cli）,liff,high,https://developers.line.biz/en/docs/liff/developing-liff-apps/
LIFF 取不到 email,liff.getDecodedIDToken() 沒有 email 欄位,channel 未申請 email 權限，或 scope 沒帶 openid email,到 LINE Developers Console → LINE Login → OpenID Connect 申請 Email address permission；並在 liff.init 前確保 scope 含 openid email,liff,medium,https://developers.line.biz/en/docs/line-login/integrate-line-login/
liff.sendMessages() 失敗,呼叫後拋錯,不是在 LINE 內開啟（外部瀏覽器），或 LIFF app 沒有 chat_message.write scope,sendMessages 僅在 LIFF browser 且從聊天室開啟時可用；先用 liff.isApiAvailable('sendMessages') 判斷,liff,medium,https://developers.line.biz/en/reference/liff/#liffsendmessages
群組中取不到成員名稱,getGroupMemberProfile 回 404,成員未加官方帳號好友或未同意,群組成員 profile 只有在該使用者同意時才拿得到；設計上要能 fallback 顯示匿名,messaging-api,low,https://developers.line.biz/en/docs/messaging-api/group-chats/
LINE Notify 停止服務,舊程式呼叫 notify-api.line.me 全部失敗,LINE Notify 已於 2025-03-31 終止服務,改用 Messaging API push message；若對象未加好友則申請 LINE 通知訊息 (LINE notification messages),migration,critical,https://notify-bot.line.me/en/
Verify 開發用 webhook 需要 HTTPS,本機 localhost 無法設定 webhook,LINE 只接受公開 HTTPS URL,用 ngrok / Cloudflare Tunnel 對外；或用 LINE Bot SDK 的本機測試工具,webhook,low,https://developers.line.biz/en/docs/messaging-api/building-bot/
JWT 換 token 失敗,POST /oauth2/v2.1/token 回 400 invalid_grant,assertion JWT 的 kid、alg(RS256)、exp(≤30分鐘)、aud、iss 設定錯誤,iss 與 sub 都放 channel ID、aud 放 https://api.line.me/、exp 不得超過發行後 30 分鐘、header 要有 kid，且私鑰需與 Console 上傳的 assertion 公開金鑰配對,auth,high,https://developers.line.biz/en/docs/messaging-api/generate-json-web-token/
