name,kind,category,before_init,introduced_in,introduced_on,syntax,returns,description,doc_url
liff.getAccessToken(),method,Authentication,false,2.3.0,2020-06-29,liff.getAccessToken();,Returns the current user's access token as a string.,"Gets the current user's access token. You can use the access token obtained with this API to send user data from the LIFF app to the server. For more information, see [Using user data in LIFF apps and servers](https://developers.line.biz/en/docs/liff/using-user-profile/) in the LIFF documentation.",https://developers.line.biz/en/reference/liff/#liffgetaccesstoken
liff.getIDToken(),method,Authentication,false,,,liff.getIDToken();,Returns an ID token.,"Get the ID token of the current user obtained by the LIFF SDK. An ID token is a JSON Web Token (JWT) that contains user data. The ID token is valid for one hour after it is issued. You can use the ID token obtained with this API when sending the user data from the LIFF app to the server. For more information, see [Using user data in LIFF apps and servers](https://developers.line.biz/en/docs/liff/u",https://developers.line.biz/en/reference/liff/#liffgetidtoken
liff.getDecodedIDToken(),method,Authentication,false,2.7.0,2021-01-14,liff.getDecodedIDToken();,Gets the ID token payload.,"Gets the payload of the ID token that's acquired by the LIFF SDK. The payload includes information such as user display name, profile image URL, email address, etc. Use this method when you want to use the display name of the user in the LIFF app. You can only get the main profile information. You can't get the user's [subprofile](https://developers.line.biz/en/glossary/#subprofile). **Don't send",https://developers.line.biz/en/reference/liff/#liffgetdecodedidtoken
liff.permission.getGrantedAll(),method,Authentication,false,2.27.0,,liff.permission.getGrantedAll();,"When the `Promise` is resolved, an array of scopes for which the user has agreed to grant permission is passed.",Gets a list of scopes for which the user has agreed to grant permission. The scopes that you can get with this method are as follows: - [`profile`](https://developers.line.biz/en/docs/liff/registering-liff-apps/#registering-liff-app) - [`chat_message.write`](https://developers.line.biz/en/docs/liff/registering-liff-apps/#registering-liff-app),https://developers.line.biz/en/reference/liff/#liffpermissiongetgrantedall
liff.permission.query(),method,Authentication,false,,,liff.permission.query(permission);,`Promise` object returned.,"Verifies whether the user agrees to grant the specified permission. _Example_ liff.permission.query(""profile"").then((permissionStatus) => { // permissionStatus = { state: 'granted' }",https://developers.line.biz/en/reference/liff/#liffpermissionquery
liff.permission.requestAll(),method,Authentication,false,2.22.4,,liff.permission.requestAll(params);,Returns a `Promise` object.,"Displays the ""Verification screen"" for the permissions requested by LINE MINI Apps. **Operating environment of liff.permission.requestAll()** `liff.permission.requestAll()` only operates on [LINE MINI Apps](https://developers.line.biz/en/docs/line-mini-app/). To execute this method, you need to turn on **Channel consent simplification** in advance on the [LINE Developers Console](https://developer",https://developers.line.biz/en/reference/liff/#liffpermissionrequestall
liff.getProfile(),method,Profile,false,2.3.0,2020-06-29,liff.getProfile();,Returns a `Promise` object.,"Gets the current user's [profile information](https://developers.line.biz/en/glossary/#profile-information). You can only get the main profile information. You can't get the user's [subprofile](https://developers.line.biz/en/glossary/#subprofile). **Don't send user info to server** Don't send the user data obtained by this method to the server. For more information, see [Using user data in LIFF ap",https://developers.line.biz/en/reference/liff/#liffgetprofile
liff.getFriendship(),method,Profile,false,2.3.0,2020-06-29,liff.getFriendship(params);,Returns a `Promise` object.,"Gets the friendship status between a user and a LINE Official Account. However, you can only get the friendship status between a user and a LINE Official Account that has been linked to the same LINE Login channel to which your LIFF app has been added. To learn how to link a LINE Official Account to a LINE Login channel, see [Add a LINE Official Account as a friend when logged in (add friend optio",https://developers.line.biz/en/reference/liff/#liffgetfriendship
liff.requestFriendship(),method,Profile,false,2.28.0,2026-03-24,liff.requestFriendship(params);,Returns a `Promise` object.,"Displays a subwindow that prompts the user to add the LINE Official Account as a friend, or to unblock it. - If the user has not added the LINE Official Account as a friend, a subwindow that prompts the user to add it as a friend is displayed. - If the user has blocked the LINE Official Account, a subwindow that prompts the user to unblock it is displayed. - If the user is already friends with the",https://developers.line.biz/en/reference/liff/#liffrequestfriendship
liff.openWindow(),method,Window,false,2.17.0,2021-11-11,liff.openWindow(params);,None,Opens the specified URL in the LINE's in-app browser or external browser. **Operating environment of liff.openWindow()** Use of `liff.openWindow()` in an external browser isn't guaranteed. _Example_,https://developers.line.biz/en/reference/liff/#liffopenwindow
liff.closeWindow(),method,Window,true,2.4.0,2020-08-31,liff.closeWindow();,None,"Closes the LIFF app. The behavior when closing the LIFF app depends on the LINE app version and the settings of the LIFF app. For more information, see [Behavior when closing the LIFF app](https://developers.line.biz/en/docs/liff/developing-liff-apps/#behavior-when-closing-liff-app) in the LIFF documentation. **This method can be used before the LIFF app is initialized** To use the `liff.closeWind",https://developers.line.biz/en/reference/liff/#liffclosewindow
liff.sendMessages(),method,Message,false,2.3.0,2020-06-29,liff.sendMessages(messages);,Returns a `Promise` object.,"Sends messages on behalf of the user to the chat room where the LIFF app is opened. To use this feature, the following conditions must be met: - Within the LIFF browser for a LIFF app launched from a one-on-one chat, [group chat](https://developers.line.biz/en/glossary/#group), or [multi-person chat](https://developers.line.biz/en/glossary/#room) - The [`chat_message.write` scope](https://develope",https://developers.line.biz/en/reference/liff/#liffsendmessages
liff.shareTargetPicker(),method,Message,false,2.3.0,2020-06-29,"liff.shareTargetPicker(messages, options);",Returns a `Promise` object.,"Displays the target picker (a screen for selecting a recipient) and sends a message created by the developer to the selected target. The message appears to each selected recipient as if it were sent by the user. In the target picker, users can select recipients from groups, friends, and chats. OpenChat isn't included. For more information about selectable recipients, see [Recipients that can be se",https://developers.line.biz/en/reference/liff/#liffsharetargetpicker
liff.scanCodeV2(),method,Camera,false,2.15.0,2021-09-30,liff.scanCodeV2();,Returns a `Promise` object.,"Launch the 2D code reader and obtain string. To activate the 2D code reader, turn on **Scan QR** on the [LINE Developers Console](https://developers.line.biz/console/). **Operating environments of liff.scanCodeV2()** `liff.scanCodeV2()` works in these environments. - iOS: iOS 14.3 or later",https://developers.line.biz/en/reference/liff/#liffscancodev2
liff.scanCode(),method,Camera,false,2.3.0,2020-06-29,liff.scanCode();,Returns a `Promise` object.,"**liff.scanCode() method deprecated** The traditional `liff.scanCode()` method has been [deprecated](https://developers.line.biz/en/glossary/#deprecated). We recommend using the [`liff.scanCodeV2()`](https://developers.line.biz/en/reference/liff/#scan-code-v2) method for implementing a 2D code reader. <br> Starts a 2D code reader and gets the string read by the user. To start the 2D code reader, t",https://developers.line.biz/en/reference/liff/#liffscancode
liff.permanentLink.createUrlBy(),method,Permanent link,false,2.18.0,,liff.permanentLink.createUrlBy(url);,Returns a `Promise` object.,Get the permanent link of any page in the LIFF app. Permanent link format: https://liff.line.me/{liffId}/{path}?{query}#{URL fragment} _Example_,https://developers.line.biz/en/reference/liff/#liffpermanentlinkcreateurlby
liff.permanentLink.createUrl(),method,Permanent link,false,2.3.0,2020-06-29,liff.permanentLink.createUrl();,Returns the current page's permanent link as a string.,"**liff.permanentLink.createUrl() may be deprecated in the next major version update** Due to technical issues, `liff.permanentLink.createUrl()` may be deprecated in the next major version update. To get the permanent link of the current page, we recommend using [`liff.permanentLink.createUrlBy()`](https://developers.line.biz/en/reference/liff/#permanent-link-create-url-by). Gets the permanent link",https://developers.line.biz/en/reference/liff/#liffpermanentlinkcreateurl
liff.permanentLink.setExtraQueryParam(),method,Permanent link,false,2.18.0,,liff.permanentLink.setExtraQueryParam(extraString);,None,"**liff.permanentLink.setExtraQueryParam() may be deprecated in the next major version update** Due to technical issues, `liff.permanentLink.setExtraQueryParam()` may be deprecated in the next major version update. To add any query parameter to a permanent link on the current page, we recommend using [`liff.permanentLink.createUrlBy()`](https://developers.line.biz/en/reference/liff/#permanent-link-",https://developers.line.biz/en/reference/liff/#liffpermanentlinksetextraqueryparam
liff.use(),method,LIFF plugin,false,2.22.0,,"liff.use(module, option);",Returns the `liff` object.,"Activates and initializes LIFF API in the [pluggable SDK](https://developers.line.biz/en/docs/liff/pluggable-sdk/) or a [LIFF plugin](https://developers.line.biz/en/docs/liff/liff-plugin/). _Example of LIFF API in the pluggable SDK_ import liff from ""@line/liff/core""; import GetOS from ""@line/liff/get-os"";",https://developers.line.biz/en/reference/liff/#liffuse
liff.i18n.setLang(),method,Internationalization,false,2.21.0,,liff.i18n.setLang(language);,Returns a `Promise` object.,"Specify the language of the text displayed by the LIFF SDK. _Example_ liff.i18n.setLang(""en"");",https://developers.line.biz/en/reference/liff/#liffi18nsetlang
liff.createShortcutOnHomeScreen(),method,Others,false,,,liff.createShortcutOnHomeScreen(params);,Returns a `Promise` object.,"**This feature can only be used for verified MINI Apps** This feature is only available for verified MINI Apps. For unverified MINI Apps, you can test the feature on the internal channel for Developing, but you can't use the feature on the internal channel for Published. Displays a screen for adding a shortcut to your [LINE MINI App](https://developers.line.biz/en/docs/line-mini-app/) to the home",https://developers.line.biz/en/reference/liff/#liffcreateshortcutonhomescreen
